Designator,Mid X,Mid Y,Rotation,Layer
C1,13.925,38.888,0.0,top
C2,11.174819,6.738,270.0,top
C3,9.025,38.438,180.0,top
C4,8.975,40.638,0.0,top
C5,19.325,39.088,0.0,top
C7,16.7132,8.9408,270.0,top
C8,20.5232,9.0424,270.0,top
D1,3.85,29.388,0.0,top
D2,2.8,4.088,270.0,top
J1,3.78,15.038,180.0,top
R1,3.9,31.688,0.0,top
R10,16.75,13.288,90.0,top
R11,41.425,46.238,270.0,top
R12,14.5,16.288,90.0,top
R2,5.3,4.088,90.0,top
R3,7.475,44.338,270.0,top
R8,12.25,16.338,270.0,top
R9,21.1,13.538,270.0,top
U1,9.875,42.413,0.0,top
U2,19.525,43.288,180.0,top
U3,18.25,17.288,180.0,top
U4,20.085,3.163,0.0,top
